Date;QQQ;SPY
2018-06-05;0.0030933702124048726;0.0007271064805180837
2018-06-06;0.005816748827193976;0.00832611126165688
2018-06-07;-0.00816464592894611;-0.00010819626987202992
2018-06-08;5.7625061679149836e-05;0.0029518226072275233
2018-06-11;0.002690340728144503;0.0013293874311606738
2018-06-12;0.005246193974163162;0.0012918588123996644
2018-06-13;-5.680478726382118e-05;-0.0031965007237116194
2018-06-14;0.01007312654058389;0.0025148994572020567
2018-06-15;-0.003497047561136948;-0.0012766423431401753
2018-06-18;-0.0005776421659798087;-0.0020591139024269526
2018-06-19;-0.002837234097461343;-0.0038400337878280602
2018-06-20;0.0070772813958089355;0.001704765594498768
2018-06-21;-0.00872618897948954;-0.0062886884422694075
2018-06-22;-0.00222212550975777;0.0018214090594981043
2018-06-25;-0.022787785598860754;-0.013706427166690016
